N_Percentile,Thr_Value,TN,FP,FN,TP,Sensitivity,Specificity,PPV,NPV,Recall,Accuracy,Site_Name
Top 14.0%,0.11188673729860822,6424,686,561,451,0.44565217391304346,0.9035161744022504,0.3966578715919085,0.9196850393700788,0.44565217391304346,0.8464663875892637,University of Chicago
Top 15.0%,0.10528668492688704,6361,749,542,470,0.4644268774703557,0.8946554149085795,0.3855619360131255,0.9214834130088368,0.4644268774703557,0.8410490027086924,University of Chicago
Top 16.0%,0.098252866,6300,810,522,490,0.4841897233201581,0.8860759493670886,0.3769230769230769,0.9234828496042216,0.4841897233201581,0.8360009849790692,University of Chicago
Top 17.0%,0.091548139,6240,870,501,511,0.5049407114624506,0.8776371308016878,0.37002172338884864,0.9256786826880284,0.5049407114624506,0.8311992120167446,University of Chicago
Top 18.0%,0.086089388,6178,932,482,530,0.5237154150197628,0.868917018,0.3625170998632011,0.9276276276276276,0.5237154150197628,0.8259049495198227,University of Chicago
Top 19.0%,0.080078807,6120,990,459,553,0.5464426877470355,0.8607594936708861,0.35839274141283217,0.9302325581395348,0.5464426877470355,0.8215956660920956,University of Chicago
Top 20.0%,0.075452278,6059,1051,438,574,0.567193676,0.8521800281293952,0.35323076923076924,0.9325842696629212,0.567193676,0.8166707707461216,University of Chicago
Top 21.0%,0.071789732,5994,1116,422,590,0.5830039525691699,0.8430379746835444,0.34583821805392734,0.9342269326683292,0.5830039525691699,0.8106377739473036,University of Chicago
Top 22.0%,0.068060071,5930,1180,405,607,0.599802372,0.8340365682137834,0.33967543368774483,0.936069455,0.599802372,0.8048510219157843,University of Chicago
Top 23.0%,0.064524582,5863,1247,391,621,0.6136363636363636,0.8246132208157525,0.33244111349036404,0.9374800127918133,0.6136363636363636,0.7983255355823689,University of Chicago
Top 24.0%,0.0616718769702466,5789,1321,383,629,0.6215415019762845,0.8142053445850914,0.32256410256410256,0.9379455605962412,0.6215415019762845,0.79019945826151194,University of Chicago
Top 25.0%,0.058762866,5724,1386,367,645,0.6373517786561265,0.8050632911392405,0.31757754800590843,0.9397471679527172,0.6373517786561265,0.7841664614626939,University of Chicago
Top 26.0%,0.055559315,5655,1455,355,657,0.6492094861660079,0.7953586497890295,0.31107954545454547,0.9409317803660566,0.6492094861660079,0.7771484855946811,University of Chicago
Top 27.0%,0.052819318,5592,1518,337,675,0.6669960474308301,0.7864978902953587,0.307797538,0.9431607353685276,0.6669960474308301,0.7716079783304605,University of Chicago
Top 28.0%,0.05011763253746969,5525,1585,323,689,0.6808300395256917,0.7770745428973277,0.30299032541776605,0.9447674418604652,0.6808300395256917,0.765082492,University of Chicago
Top 29.0%,0.04800354936521871,5457,1653,309,703,0.6946640316205533,0.7675105485232068,0.29838709677419356,0.9464099895941728,0.6946640316205533,0.7584338832799803,University of Chicago
Top 30.0%,0.045940362,5387,1723,298,714,0.7055335968379447,0.7576652601969057,0.29298317603610996,0.9475813544415128,0.7055335968379447,0.7511696626446688,University of Chicago
Top 31.0%,0.043757624,5316,1794,288,724,0.7154150197628458,0.7476793248945147,0.2875297855440826,0.9486081370449678,0.7154150197628458,0.7436591972420586,University of Chicago
Top 32.0%,0.04176401,5248,1862,275,737,0.7282608695652174,0.7381153305203938,0.2835706040784917,0.9502082201701972,0.7282608695652174,0.7368874661413445,University of Chicago
Top 33.0%,0.040112856,5180,1930,262,750,0.741106719,0.7285513361462729,0.2798507462686567,0.9518559353178978,0.741106719,0.7301157350406304,University of Chicago
Top 34.0%,0.03836219309524331,5109,2001,251,761,0.7519762845849802,0.7185654008438819,0.27552498189717595,0.9531716417910449,0.7519762845849802,0.7227283920216695,University of Chicago
Top 35.0%,0.03704334907979888,5040,2070,239,773,0.7638339920948617,0.7088607594936709,0.2718958846289131,0.9547262739155143,0.7638339920948617,0.7157104161536567,University of Chicago
Top 36.0%,0.035556635,4971,2139,227,785,0.7756917,0.6991561181434599,0.26846785225718195,0.9563293574451712,0.7756917,0.7086924402856439,University of Chicago
Top 37.0%,0.03429204,4897,2213,220,792,0.782608696,0.6887482419127988,0.26356073211314474,0.9570060582372484,0.782608696,0.7004432405811376,University of Chicago
Top 38.0%,0.032991672,4828,2282,208,804,0.7944664031620553,0.679043601,0.26053143227478937,0.9586973788721208,0.7944664031620553,0.6934252647131248,University of Chicago
Top 39.0%,0.031709785,4751,2359,203,809,0.799407115,0.6682137834036568,0.2553661616161616,0.959023012,0.799407115,0.6845604530903718,University of Chicago
Top 40.0%,0.030515841,4680,2430,193,819,0.8092885375494071,0.6582278481012658,0.2520775623268698,0.960394008,0.8092885375494071,0.6770499876877616,University of Chicago
Top 41.0%,0.02948458464046909,4602,2508,190,822,0.8122529644268774,0.6472573839662448,0.24684684684684685,0.9603505843071788,0.8122529644268774,0.6678158089140606,University of Chicago
Top 42.0%,0.02842906304925896,4530,2580,181,831,0.8211462450592886,0.6371308016877637,0.2436235708003518,0.9615792825302484,0.8211462450592886,0.6600590987441517,University of Chicago
Top 43.0%,0.02757497867115704,4457,2653,172,840,0.8300395256916996,0.6268635724331927,0.24048096192384769,0.9628429466407432,0.8300395256916996,0.6521792661905934,University of Chicago
Top 44.0%,0.026734615,4382,2728,166,846,0.8359683794466403,0.6163150492264416,0.23670956911024063,0.963500439753738,0.8359683794466403,0.6436838217187885,University of Chicago
Top 45.0%,0.02587206969996264,4309,2801,158,854,0.8438735177865613,0.6060478199718706,0.23365253077975376,0.9646295052608014,0.8438735177865613,0.6356808667815809,University of Chicago
Top 46.0%,0.025089149,4235,2875,151,861,0.8507905138339921,0.5956399437412095,0.23046038543897215,0.9655722754217966,0.8507905138339921,0.6274316670770747,University of Chicago
Top 47.0%,0.02442106691628129,4161,2949,144,868,0.85770751,0.5852320675105486,0.2274037201991093,0.9665505226480836,0.85770751,0.6191824673725683,University of Chicago
Top 48.0%,0.02373981120898079,4086,3024,137,875,0.8646245059288538,0.5746835443037974,0.2244165170556553,0.9675586076249112,0.8646245059288538,0.6108101452844127,University of Chicago
Top 49.0%,0.02295381148390957,4009,3101,133,879,0.8685770750988142,0.5638537271448664,0.22085427135678393,0.9678899082568808,0.8685770750988142,0.6018222112780104,University of Chicago
Top 50.0%,0.02232071107735746,3934,3176,127,885,0.8745059288537549,0.5533052039381153,0.217926619,0.9687269145530656,0.8745059288537549,0.5933267668062053,University of Chicago
Top 51.0%,0.02173073615462904,3858,3252,122,890,0.8794466403162056,0.5426160337552742,0.21487204249155,0.9693467336683416,0.8794466403162056,0.5845850775671017,University of Chicago
Top 52.0%,0.02096208426371624,3786,3324,113,899,0.8883399209486166,0.5324894514767933,0.21288183755623963,0.97101821,0.8883399209486166,0.5768283673971928,University of Chicago
Top 53.0%,0.02032838,3708,3402,109,903,0.89229249,0.5215189873417722,0.2097560975609756,0.9714435420487294,0.89229249,0.5677173110071411,University of Chicago
Top 54.0%,0.01984439205965813,3630,3480,106,906,0.8952569169960475,0.510548523,0.20656634746922023,0.971627409,0.8952569169960475,0.558483132,University of Chicago
Top 55.0%,0.01921584515923933,3553,3557,102,910,0.8992094861660079,0.499718706,0.2037161405865234,0.972093023255814,0.8992094861660079,0.5494951982270376,University of Chicago
Top 56.0%,0.01858063824591508,3476,3634,98,914,0.9031620553359684,0.4888888888888889,0.2009674582233949,0.9725797425853384,0.9031620553359684,0.5405072642206353,University of Chicago
Top 57.0%,0.0180074609199164,3400,3710,93,919,0.908102767,0.4781997187060478,0.19853100021602935,0.9733753220727168,0.908102767,0.5317655749815317,University of Chicago
