"group","hour","avg_temperature","std","n"
"HT",5,36.3148377337734,0.674042009661271,808
"HT",6,36.3683800623053,0.629323815751901,856
"HT",7,36.3984300987955,0.605638169724659,821
"HT",8,36.4252615844544,0.569964200077897,892
"HT",9,36.4467744284258,0.527563454853323,763
"HT",10,36.4299071799072,0.534453916392021,814
"HT",11,36.4306264172336,0.52638957912579,784
"HT",12,36.461318795431,0.533246107895204,856
"HT",13,36.4339622641509,0.542282533204985,742
"HT",14,36.4583500467977,0.49963521359453,831
"HT",15,36.467744383728,0.482926322959622,732
"HT",16,36.4957814122534,0.479129298115672,856
"HT",17,36.4870190078813,0.504138558054727,719
"HT",18,36.4582631874299,0.511445985015413,792
"HT",19,36.4743647571794,0.495638454924686,739
"HT",20,36.4851202892505,0.530005205139521,799
"HT",21,36.4954378219279,0.524839450472497,755
"HT",22,36.4508846426044,0.538669286011557,785
"HT",23,36.4779468264945,0.51719300107678,723
"HT",24,36.4818169618894,0.51399823319013,828
"HT",25,36.4945367805479,0.485187597781264,722
"HT",26,36.4894623655914,0.476675131865031,775
"HT",27,36.5184140416863,0.452344206640523,709
"HT",28,36.51144001144,0.47246242781908,777
"HT",29,36.4995324918186,0.469663099010689,713
"HT",30,36.5055264688773,0.510889935550712,764
"HT",31,36.524494949495,0.507316850252087,660
"HT",32,36.5166447656592,0.478763135794181,761
"HT",33,36.5161835748792,0.482155028223896,690
"HT",34,36.5173660223165,0.485151456019636,707
"HT",35,36.5255825734549,0.506990577141824,658
"HT",36,36.5242911877395,0.48657193137463,725
"HT",37,36.5172552814062,0.489910093807487,689
"HT",38,36.503848003848,0.490574632641566,693
"HT",39,36.5134216785593,0.493026199957605,654
"HT",40,36.5284495021337,0.462999273154317,703
"HT",41,36.5410888546482,0.500214252106245,649
"HT",42,36.5195396588839,0.479259318939361,671
"HT",43,36.5510510510511,0.494161003553386,629
"HT",44,36.5373535929091,0.445476709155693,702
"HT",45,36.5343241330502,0.453740935888599,628
"HT",46,36.5430856553148,0.444156094878503,646
"HT",47,36.5486590038314,0.449910389954874,580
"HT",48,36.545423321312,0.445660097514742,647
"HT",49,36.5353881278539,0.444593558794667,584
